OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
73549;5,2001E+18;5;3;15;0;2020;1;16;5;3;1;5;1;1;1;0;0;0;0;360030,7239;5644904,878;7,007810686;50,93876246;0
73550;5,2001E+18;5;3;15;0;2020;1;7;5;3;0;1;1;1;0;0;0;0;0;354594,7565;5643319,524;6,931125652;50,92317022;2
73551;5,2001E+18;5;3;15;0;2020;1;10;5;3;6;4;0;0;1;1;0;0;0;356618,8015;5643048,318;6,960011415;50,92123946;1
73581;5,2001E+18;5;3;15;0;2020;1;21;5;3;9;6;2;0;1;0;0;0;0;348954,4639;5646219,169;6,849731098;50,94777821;0
73607;5,2001E+18;5;3;15;0;2020;1;3;4;3;7;7;2;0;1;0;0;0;0;365671,1955;5635802,843;7,091391315;50,85829811;2
73608;5,2001E+18;5;3;15;0;2020;1;17;4;3;3;6;1;0;1;0;0;0;1;355185,6823;5643734,016;6,939363098;50,92704379;0
73609;5,2001E+18;5;3;15;0;2020;1;5;4;2;6;4;2;0;1;1;0;0;0;356713,26;5644637,549;6,960729799;50,93554521;0
73625;5,2001E+18;5;3;15;0;2020;1;4;4;3;8;1;2;0;1;0;0;0;0;363538,3034;5645949,512;7,057311775;50,94899177;2
73784;5,20011E+18;5;3;15;0;2020;1;16;3;3;1;6;1;0;1;0;0;1;0;361447,8;5642523,862;7,028872088;50,91770583;0
73787;5,20011E+18;5;3;15;0;2020;1;6;2;3;2;6;2;0;1;0;0;1;0;351056,5493;5651175,76;6,877604185;50,99286697;0
73822;5,20011E+18;5;3;15;0;2020;1;17;1;3;5;2;2;0;1;0;0;0;1;355477,8813;5651031,546;6,940619907;50,9926982;0
73828;5,20011E+18;5;3;15;0;2020;1;10;3;3;0;5;0;1;1;0;0;0;0;352796,4847;5644908,376;6,904915799;50,93699259;1
73840;5,20011E+18;5;3;15;0;2020;1;6;2;3;2;6;2;0;1;0;0;0;0;357928,5644;5646599,718;6,977249171;50,95347985;0
73903;5,2001E+18;5;3;15;0;2020;1;14;7;2;0;7;0;1;0;0;0;0;0;357110,8436;5644718,188;6,966352809;50,93636855;0
73915;5,2001E+18;5;3;15;0;2020;1;15;7;3;0;1;0;1;0;0;0;0;0;354263,946;5645891,185;6,925393649;50,94619751;0
73921;5,20011E+18;5;3;15;0;2020;1;7;4;3;1;6;2;0;1;0;0;1;0;352522,0365;5650974,934;6,898553338;50,99143964;1
73922;5,2001E+18;5;3;15;0;2020;1;18;6;2;6;4;2;0;1;1;0;0;0;363184,9403;5638308,558;7,055149716;50,8802354;1
73924;5,20011E+18;5;3;15;0;2020;1;7;3;3;5;3;2;0;1;0;0;0;1;364889,964;5635412,54;7,080441898;50,8546082;1
73926;5,2001E+18;5;3;15;0;2020;1;22;6;3;2;6;2;0;1;0;0;0;0;356080,9384;5649112,711;6,949967249;50,9756052;1
73932;5,2001E+18;5;3;15;0;2020;1;15;6;3;0;6;0;0;1;0;0;0;0;357101,0542;5639817,143;6,968133148;50,89232059;1
73936;5,2001E+18;5;3;15;0;2020;1;18;7;3;0;1;2;1;0;0;0;0;0;353571,0604;5644188,624;6,91622137;50,93072162;1
73937;5,20011E+18;5;3;15;0;2020;1;2;1;2;9;1;2;0;1;0;0;0;0;363207,2831;5639469,941;7,055032401;50,89067861;1
73940;5,2001E+18;5;3;15;0;2020;1;21;7;3;0;4;2;0;1;1;0;0;0;355219,8264;5644664,191;6,939479148;50,93541165;0
73954;5,20011E+18;5;3;15;0;2020;1;17;2;3;2;6;2;0;1;0;0;0;0;359567,616;5650683,392;6,998992948;50,99058178;0
73959;5,2001E+18;5;3;15;0;2020;1;12;7;3;0;2;0;0;1;0;0;0;1;354741,601;5644805,463;6,932621428;50,93656097;0
73983;5,2001E+18;5;3;15;0;2020;1;15;7;3;5;3;0;0;1;0;0;0;1;356859,0544;5645349,468;6,962523659;50,94197936;0
73990;5,20011E+18;5;3;15;0;2020;1;10;1;3;1;1;0;1;1;0;0;0;0;355036,6394;5643523,248;6,937327558;50,92511224;1
73996;5,20011E+18;5;3;15;0;2020;1;20;3;3;7;1;2;1;0;0;0;0;0;354844,5828;5646239,698;6,933514547;50,94947599;0
74055;5,20011E+18;5;3;15;0;2020;1;12;4;3;1;5;0;0;1;0;1;0;0;355254,6672;5645152,521;6,939780672;50,9398089;1
74094;5,20011E+18;5;3;15;0;2020;1;5;5;3;0;6;1;0;1;0;0;0;0;361627,1158;5648000,563;7,029341093;50,96696945;1
74113;5,20011E+18;5;3;15;0;2020;1;7;5;2;5;3;2;0;1;0;0;0;1;347510,0472;5648118,382;6,828388586;50,96446447;1
74129;5,20011E+18;5;3;15;0;2020;1;2;7;3;2;6;2;0;1;0;0;0;0;349052,3433;5647304,373;6,850673499;50,95755576;0
74154;5,20011E+18;5;3;15;0;2020;1;17;5;2;2;6;2;0;1;0;0;0;0;352329,3519;5651163,459;6,895733068;50,9930844;1
74160;5,20011E+18;5;3;15;0;2020;1;11;6;3;2;6;0;0;1;0;1;0;0;353601,6839;5646423,738;6,915758653;50,95081556;1
74173;5,20011E+18;5;3;15;0;2020;1;7;5;3;5;2;1;1;1;0;0;0;0;353831,2019;5646583,193;6,918959928;50,95230677;1
74223;5,20011E+18;5;3;15;0;2020;1;12;5;3;3;2;0;0;1;0;0;0;0;349196,607;5643102,134;6,854465408;50,91983103;1
74239;5,20011E+18;5;3;15;0;2020;1;16;5;3;3;6;2;0;1;0;0;1;0;356869,3596;5644442,711;6,963026445;50,93383298;1
74242;5,20011E+18;5;3;15;0;2020;1;0;6;3;0;1;2;0;0;0;0;0;1;355206,0969;5644904,912;6,939188231;50,93757151;1
74285;5,20011E+18;5;3;15;0;2020;1;16;5;2;2;6;0;0;1;0;0;0;0;356638,7779;5638917,753;6,961917395;50,88412324;0
74291;5,20011E+18;5;3;15;0;2020;1;6;5;3;4;1;2;0;1;0;0;0;0;361658,2293;5648348,404;7,029651618;50,97010305;1
74305;5,20011E+18;5;3;15;0;2020;1;17;5;2;6;4;2;0;0;1;0;0;1;349111,703;5645138,438;6,852415527;50,93810765;0
74340;5,20011E+18;5;3;15;0;2020;1;18;4;3;5;3;2;1;1;0;0;0;0;354014,6206;5646884,895;6,921448476;50,95506455;0
74350;5,20011E+18;5;3;15;0;2020;1;18;4;3;1;5;1;1;1;0;0;0;0;354014,1261;5646067,291;6,921769275;50,9477169;1
74351;5,20011E+18;5;3;15;0;2020;1;11;5;3;2;6;0;0;1;0;0;0;0;365020,2114;5638866,126;7,081016765;50,88567826;1
74352;5,20011E+18;5;3;15;0;2020;1;15;6;3;5;6;0;0;1;0;0;1;0;357418,4644;5636749,818;6,97383961;50,86483281;1
74359;5,20011E+18;5;3;15;0;2020;1;4;4;3;5;3;2;1;0;0;0;0;1;354257,9652;5640288,801;6,927547326;50,89584889;1
74363;5,20011E+18;5;3;15;0;2020;1;15;4;3;2;6;0;0;1;0;0;0;0;354787,0691;5635018,734;6,937158451;50,84862083;0
74365;5,20011E+18;5;3;15;0;2020;1;20;5;3;6;6;2;1;0;1;0;0;0;355186,7738;5643735,517;6,939378022;50,92705756;1
74384;5,20012E+18;5;3;15;0;2020;1;8;4;3;2;6;1;0;1;0;0;1;0;362162,786;5642634,969;7,038995543;50,91887562;0
74402;5,20011E+18;5;3;15;0;2020;1;18;3;2;6;2;2;0;1;1;0;0;0;359572,7245;5646860,829;7,000541938;50,95622944;0
74404;5,20011E+18;5;3;15;0;2020;1;11;2;2;8;7;0;0;1;0;0;0;0;348136,5247;5658969,328;6,832761376;51,06213713;0
74410;5,20011E+18;5;3;15;0;2020;1;8;2;3;2;6;1;0;1;0;0;0;0;353835,2991;5646622,427;6,919002467;50,9526604;0
74469;5,20011E+18;5;3;15;0;2020;1;12;3;3;5;3;0;0;1;0;0;0;1;354257,9652;5640288,801;6,927547326;50,89584889;0
74481;5,20011E+18;5;3;15;0;2020;1;7;2;3;3;7;1;1;1;0;0;0;0;356345,8426;5647554,681;6,954353414;50,96166962;0
74495;5,20011E+18;5;3;15;0;2020;1;18;1;3;5;2;2;1;1;0;0;0;0;355929,873;5650054,575;6,947443586;50,98403173;1
74496;5,20011E+18;5;3;15;0;2020;1;8;2;2;0;7;1;1;0;0;0;0;0;355009,8763;5645390,978;6,936203973;50,94189036;0
74507;5,20011E+18;5;3;15;0;2020;1;2;1;3;0;1;2;0;1;0;0;0;0;353586,2365;5646440,463;6,915532162;50,95096194;0
74542;5,20011E+18;5;3;15;0;2020;1;7;3;3;2;6;1;0;1;0;0;0;0;359290,5062;5645800,504;6,996936026;50,94663138;0
74545;5,20011E+18;5;3;15;0;2020;1;13;2;3;2;6;0;0;1;0;0;0;0;358802,7429;5640707,194;6,991969224;50,90073811;0
74551;5,20011E+18;5;3;15;0;2020;1;15;2;3;0;1;0;0;0;0;1;0;0;349740,3417;5641887,186;6,862695913;50,90905491;0
74573;5,20011E+18;5;3;15;0;2020;1;17;3;3;3;6;1;0;1;0;0;1;0;365748,6101;5639605,681;7,091094376;50,89249486;0
74608;5,20011E+18;5;3;15;0;2020;1;18;7;3;5;2;2;1;1;0;0;0;0;356429,3594;5647046,628;6,955742327;50,95712465;0
74610;5,20011E+18;5;3;15;0;2020;1;19;3;3;0;6;2;1;1;0;0;0;0;353206,8932;5645201,984;6,910634517;50,93973574;0
74616;5,20011E+18;5;3;15;0;2020;1;21;7;2;2;1;2;0;1;0;0;0;0;356304,576;5635045,105;6,958690557;50,84923677;0
74621;5,20011E+18;5;3;15;0;2020;1;20;7;3;5;3;2;1;1;0;0;0;0;357513,9073;5641224,023;6,973450594;50,90506625;0
74622;5,20011E+18;5;3;15;0;2020;1;8;2;3;2;6;0;0;1;0;0;0;0;362506,329;5636864,232;7,046052157;50,8670935;0
74638;5,20011E+18;5;3;15;0;2020;1;15;2;3;5;3;0;0;1;0;0;0;1;354788,2529;5646138,692;6,932753452;50,94855409;0
74662;5,20012E+18;5;3;15;0;2020;1;6;4;3;2;6;2;0;1;0;0;0;0;357039,0967;5635796,019;6,968824792;50,85616728;0
74686;5,20011E+18;5;3;15;0;2020;1;12;2;2;5;2;0;1;0;0;0;1;0;348509,931;5656633,934;6,839063482;51,04124989;1
74693;5,20011E+18;5;3;15;0;2020;1;11;3;2;5;3;0;1;0;0;0;0;1;353008,259;5644610,522;6,908047887;50,93436991;0
74701;5,20011E+18;5;3;15;0;2020;1;17;2;3;5;3;2;1;1;0;0;0;0;355232,8605;5645041,346;6,939514678;50,93880433;0
