OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;USTRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
28934;5,21E+18;5;3;15;0;2021;9;14;6;3;1;6;0;0;1;0;0;0;0;0;351177,517;5645022,259;6,88184396;50,93760047
28936;5,21E+18;5;3;15;0;2021;3;14;2;3;5;2;0;0;1;0;0;0;1;0;351566,82;5647979,149;6,886175321;50,96427275
28937;5,21E+18;5;3;15;0;2021;4;11;3;3;0;7;0;0;1;1;0;0;0;0;349335,0802;5645106,067;6,855605844;50,93787517
28938;5,21E+18;5;3;15;0;2021;10;7;4;3;2;6;2;0;0;1;0;0;0;0;348566,777;5655920,576;6,840171924;51,03485461
28943;5,21E+18;5;3;15;0;2021;3;21;2;2;3;6;2;0;0;1;0;0;0;0;354197,8891;5644993,66;6,924813202;50,93811503
28944;5,21E+18;5;3;15;0;2021;12;8;3;3;3;7;1;0;0;1;0;1;0;0;355141,0309;5643672,628;6,938752561;50,9264809
28951;5,21E+18;5;3;15;0;2021;6;8;3;2;0;7;0;0;1;0;0;0;0;0;353449,9795;5646588,511;6,913534076;50,95225776
28954;5,21E+18;5;3;15;0;2021;6;14;4;3;5;3;0;0;1;1;0;0;0;0;352076,6604;5651050,137;6,892181037;50,99200116
28963;5,21E+18;5;3;15;0;2021;3;8;5;3;5;2;0;0;0;0;0;0;1;1;353034,9665;5644916,27;6,908304403;50,93712435
28972;5,21E+18;5;3;15;0;2021;11;7;6;3;0;2;1;1;0;1;0;1;0;0;356869,406;5644444,406;6,963026439;50,93384822
28976;5,21E+18;5;3;15;0;2021;6;14;6;3;5;3;0;0;1;1;0;0;0;0;357595,0881;5647002,644;6,972346823;50,95701862
28979;5,21E+18;5;3;15;0;2021;12;16;4;3;2;6;1;0;0;1;0;0;0;0;354157,1101;5644821,05;6,924302295;50,93655353
28981;5,21E+18;5;3;15;0;2021;3;1;4;2;8;1;2;0;0;0;0;0;0;1;355082,9501;5644787,959;6,937483243;50,93648955
28988;5,21E+18;5;3;15;0;2021;6;22;6;2;5;2;2;0;0;1;0;0;0;0;353215,5277;5641507,423;6,912244439;50,90653625
28989;5,21E+18;5;3;15;0;2021;3;17;6;3;5;3;1;0;0;1;0;0;0;0;352815,862;5651762,202;6,902418064;50,99858962
28990;5,21E+18;5;3;15;0;2021;4;20;4;3;6;7;0;0;0;1;1;0;0;0;353576,634;5646450,859;6,915391368;50,95105293
28991;5,21E+18;5;3;15;0;2021;5;17;3;3;2;6;0;1;0;1;0;0;0;0;351650,3158;5643961,338;6,889000131;50,92818832
28992;5,21E+18;5;3;15;0;2021;6;9;2;3;5;2;0;0;0;1;0;0;0;1;355405,536;5644712,304;6,942101264;50,93589062
28995;5,21E+18;5;3;15;0;2021;4;13;5;3;2;6;0;0;0;1;0;0;0;0;357044,673;5639886,574;6,967304837;50,89293062
28997;5,21E+18;5;3;15;0;2021;10;13;6;3;2;6;0;0;0;1;0;0;0;1;349756,7704;5654328,469;6,857791421;51,02086002
28998;5,21E+18;5;3;15;0;2021;7;8;4;3;8;1;0;0;1;1;1;0;0;1;356509,8648;5646493,776;6,957105768;50,9521763
29000;5,21E+18;5;3;15;0;2021;3;6;5;3;2;6;1;0;0;1;0;0;0;1;349738,4439;5643068,221;6,862182543;50,91966763
29001;5,21E+18;5;3;15;0;2021;3;21;4;2;2;7;2;1;0;1;0;1;0;0;352014,5242;5642506,099;6,894769527;50,9152043
29005;5,21E+18;5;3;15;0;2021;6;18;4;3;0;3;0;0;0;1;0;1;0;0;353706,9895;5646309,468;6,917302719;50,9498154
29008;5,21E+18;5;3;15;0;2021;9;8;3;3;2;6;0;0;0;1;0;0;0;0;358173,922;5645342,24;6,981229894;50,94223934
29014;5,21E+18;5;3;15;0;2021;1;18;1;3;3;6;2;1;1;1;0;0;0;0;352971,806;5644899,652;6,907412811;50,93695891
29023;5,21E+18;5;3;15;0;2021;3;14;4;3;6;4;0;0;1;0;1;0;0;0;353183,7456;5644881,718;6,910434333;50,93685175
29024;5,21E+18;5;3;15;0;2021;7;12;3;3;0;1;0;1;0;0;0;1;0;0;352650,0891;5651313,777;6,900239216;50,99451743
29025;5,21E+18;5;3;15;0;2021;10;17;2;2;0;1;0;1;1;0;0;0;0;0;356077,6971;5646100,181;6,951112702;50,94853138
29029;5,21E+18;5;3;15;0;2021;6;21;3;3;8;1;2;1;0;1;0;0;0;0;351622,8246;5658259,708;6,882768434;51,05667189
29030;5,21E+18;5;3;15;0;2021;10;13;6;3;2;6;0;1;0;1;0;0;0;0;357106,1032;5644717,875;6,966285511;50,93636456
29033;5,21E+18;5;3;15;0;2021;4;10;6;2;5;3;0;0;0;1;0;0;0;0;356543,7407;5652822,909;6,955089737;51,00906342
29034;5,21E+18;5;3;15;0;2021;6;3;4;3;3;6;2;0;0;1;0;0;0;1;348794,4084;5655475,24;6,843601883;51,03091273
29036;5,21E+18;5;3;15;0;2021;10;15;6;2;2;6;0;0;0;1;0;0;0;0;349066,4805;5648600,669;6,850336893;50,96920826
