OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,USTRZUSTAND,UIDENTSTLAE
95521,5,3,15,0,2019,1,5,3,3,3,7,2,0,1,0,0,0,0,"355698,9316","5645896,103",6.94580514,50.94660268,1,
95703,5,3,15,0,2019,1,4,3,2,9,7,2,0,1,0,0,0,0,"364105,2885","5643403,273",7.066328197,50.92624148,1,
95717,5,3,15,0,2019,1,19,3,3,2,6,2,0,1,0,0,0,0,"356960,2754","5634849,847",6.968075288,50.84764448,1,
96051,5,3,15,0,2019,1,14,1,2,8,1,0,0,1,0,0,0,0,"358260,0353","5644558,441",6.982759751,50.9352165,1,
96074,5,3,15,0,2019,1,19,7,3,2,6,2,0,1,0,0,0,0,"364366,245","5641545,028",7.070730103,50.90960188,1,
96075,5,3,15,0,2019,1,22,7,3,5,3,2,0,1,0,0,0,0,"361972,8673","5648032,437",7.034249968,50.96733886,1,
96076,5,3,15,0,2019,1,17,7,3,6,2,2,0,1,1,0,0,0,"360342,185","5646961,528",7.011452099,50.95732142,1,
96125,5,3,15,0,2019,1,15,7,2,8,7,0,0,1,0,0,0,0,"360710,3172","5652374,649",7.014615901,51.00605895,1,
96127,5,3,15,0,2019,1,18,7,3,9,1,2,0,1,0,0,0,0,"348082,903","5659268,056",6.831871283,51.0648073,1,
96149,5,3,15,0,2019,1,11,6,3,6,7,0,0,1,1,0,0,0,"364698,4506","5640250,494",7.075932369,50.89804513,1,
96150,5,3,15,0,2019,1,7,6,3,0,2,2,0,1,0,0,0,0,"357926,9516","5644763,167",6.977942643,50.93697442,1,
96151,5,3,15,0,2019,1,15,6,3,5,2,1,1,1,0,0,0,0,"357781,9869","5649011,443",6.974220885,50.97511771,1,
96239,5,3,15,0,2019,1,15,5,3,6,3,0,1,0,1,0,0,0,"359829,871","5647488,133",7.003959293,50.96192968,0,
96240,5,3,15,0,2019,1,7,5,3,6,4,0,0,1,1,0,0,0,"364737,9686","5649326,487",7.073124454,50.97962499,1,
96241,5,3,15,0,2019,1,16,5,3,5,3,1,0,1,0,0,0,1,"350402,928","5645065,538",6.870809762,50.93778896,1,
96283,5,3,15,0,2019,1,10,5,3,8,7,0,0,0,0,0,1,0,"349063,9721","5648193,865",6.850469993,50.96555197,1,
96301,5,3,15,0,2019,1,11,4,3,5,3,0,0,1,0,0,0,0,"357206,881","5641145,815",6.969117345,50.90428755,0,
