OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,USTRZUSTAND,UIDENTSTLAE,Participants
95521,5,3,15,0,2019,Januar,5,Mittwoch,Unfall mit Leichtverletzten,Zusammenstoß mit seitlich in gleicher Richtung fahrendem Fahrzeug,Sonstiger Unfall,Dunkelheit,0,1,0,0,0,0,"355698,9316","5645896,103",6.94580514,50.94660268,nass/feucht,,PKW
95703,5,3,15,0,2019,Januar,4,Mittwoch,Unfall mit Schwerverletzten,Abkommen von Fahrbahn nach links,Sonstiger Unfall,Dunkelheit,0,1,0,0,0,0,"364105,2885","5643403,273",7.066328197,50.92624148,nass/feucht,,PKW
95717,5,3,15,0,2019,Januar,19,Mittwoch,Unfall mit Leichtverletzten,Zusammenstoß mit vorausfahrendem / wartendem Fahrzeug,Unfall im Längsverkehr,Dunkelheit,0,1,0,0,0,0,"356960,2754","5634849,847",6.968075288,50.84764448,nass/feucht,,PKW
96051,5,3,15,0,2019,Januar,14,Montag,Unfall mit Schwerverletzten,Abkommen von Fahrbahn nach rechts,Fahrunfall,Tageslicht,0,1,0,0,0,0,"358260,0353","5644558,441",6.982759751,50.9352165,nass/feucht,,PKW
96074,5,3,15,0,2019,Januar,19,Sonntag,Unfall mit Leichtverletzten,Zusammenstoß mit vorausfahrendem / wartendem Fahrzeug,Unfall im Längsverkehr,Dunkelheit,0,1,0,0,0,0,"364366,245","5641545,028",7.070730103,50.90960188,nass/feucht,,PKW
96075,5,3,15,0,2019,Januar,22,Sonntag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Dunkelheit,0,1,0,0,0,0,"361972,8673","5648032,437",7.034249968,50.96733886,nass/feucht,,PKW
96076,5,3,15,0,2019,Januar,17,Sonntag,Unfall mit Leichtverletzten,Zusammenstoß zwischen Fahrzeug und Fußgänger,Abbiegeunfall,Dunkelheit,0,1,1,0,0,0,"360342,185","5646961,528",7.011452099,50.95732142,nass/feucht,,"Fuss, PKW"
96125,5,3,15,0,2019,Januar,15,Sonntag,Unfall mit Schwerverletzten,Abkommen von Fahrbahn nach rechts,Sonstiger Unfall,Tageslicht,0,1,0,0,0,0,"360710,3172","5652374,649",7.014615901,51.00605895,nass/feucht,,PKW
96127,5,3,15,0,2019,Januar,18,Sonntag,Unfall mit Leichtverletzten,Abkommen von Fahrbahn nach links,Fahrunfall,Dunkelheit,0,1,0,0,0,0,"348082,903","5659268,056",6.831871283,51.0648073,nass/feucht,,PKW
96149,5,3,15,0,2019,Januar,11,Samstag,Unfall mit Leichtverletzten,Zusammenstoß zwischen Fahrzeug und Fußgänger,Sonstiger Unfall,Tageslicht,0,1,1,0,0,0,"364698,4506","5640250,494",7.075932369,50.89804513,nass/feucht,,"Fuss, PKW"
96150,5,3,15,0,2019,Januar,7,Samstag,Unfall mit Leichtverletzten,Unfall anderer Art,Abbiegeunfall,Dunkelheit,0,1,0,0,0,0,"357926,9516","5644763,167",6.977942643,50.93697442,nass/feucht,,PKW
96151,5,3,15,0,2019,Januar,15,Samstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Abbiegeunfall,Dämmerung,1,1,0,0,0,0,"357781,9869","5649011,443",6.974220885,50.97511771,nass/feucht,,"Rad, PKW"
96239,5,3,15,0,2019,Januar,15,Freitag,Unfall mit Leichtverletzten,Zusammenstoß zwischen Fahrzeug und Fußgänger,Einbiegen / Kreuzen-Unfall,Tageslicht,1,0,1,0,0,0,"359829,871","5647488,133",7.003959293,50.96192968,trocken,,"Rad, Fuss"
96240,5,3,15,0,2019,Januar,7,Freitag,Unfall mit Leichtverletzten,Zusammenstoß zwischen Fahrzeug und Fußgänger,Überschreiten-Unfall,Tageslicht,0,1,1,0,0,0,"364737,9686","5649326,487",7.073124454,50.97962499,nass/feucht,,"Fuss, PKW"
96241,5,3,15,0,2019,Januar,16,Freitag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Dämmerung,0,1,0,0,0,1,"350402,928","5645065,538",6.870809762,50.93778896,nass/feucht,,"PKW, Sonstige"
96283,5,3,15,0,2019,Januar,10,Freitag,Unfall mit Leichtverletzten,Abkommen von Fahrbahn nach rechts,Sonstiger Unfall,Tageslicht,0,0,0,0,1,0,"349063,9721","5648193,865",6.850469993,50.96555197,nass/feucht,,Gkfz
96301,5,3,15,0,2019,Januar,11,Donnerstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Tageslicht,0,1,0,0,0,0,"357206,881","5641145,815",6.969117345,50.90428755,trocken,,PKW
96302,5,3,15,0,2019,Januar,12,Donnerstag,Unfall mit Leichtverletzten,Unfall anderer Art,Fahrunfall,Tageslicht,0,0,0,1,0,0,"356599,7284","5644087,271",6.959331614,50.9305717,trocken,,Krad
96378,5,3,15,0,2019,Januar,15,Mittwoch,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Tageslicht,0,1,0,0,0,0,"364177,4555","5641424,828",7.068091104,50.90847719,nass/feucht,,PKW
96379,5,3,15,0,2019,Januar,17,Mittwoch,Unfall mit Leichtverletzten,Zusammenstoß zwischen Fahrzeug und Fußgänger,Abbiegeunfall,Dunkelheit,0,1,1,0,0,0,"359599,9405","5650179,437",6.999647988,50.98606061,nass/feucht,,"Fuss, PKW"
96380,5,3,15,0,2019,Januar,13,Mittwoch,Unfall mit Leichtverletzten,Zusammenstoß mit anfahrendem/ anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr,Tageslicht,0,1,0,0,0,0,"359970,6426","5647559,906",7.005934976,50.96260894,nass/feucht,,PKW
96381,5,3,15,0,2019,Januar,12,Mittwoch,Unfall mit Schwerverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Tageslicht,0,0,0,1,1,0,"360230,9816","5648221,538",7.009385689,50.96861833,nass/feucht,,"Krad, Gkfz"
96382,5,3,15,0,2019,Januar,7,Mittwoch,Unfall mit Leichtverletzten,Abkommen von Fahrbahn nach rechts,Fahrunfall,Dunkelheit,0,1,0,0,0,0,"356790,2002","5651396,871",6.959163103,50.99630934,nass/feucht,,PKW
96383,5,3,15,0,2019,Januar,14,Mittwoch,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Abbiegeunfall,Tageslicht,0,1,0,0,1,0,"356520,2809","5652109,289",6.95503766,51.00264444,nass/feucht,,"PKW, Gkfz"
96489,5,3,15,0,2019,Januar,13,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Tageslicht,0,1,0,0,0,0,"362039,3285","5640237,007",7.038146648,50.89729475,nass/feucht,,PKW
96490,5,3,15,0,2019,Januar,18,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Abbiegeunfall,Dunkelheit,1,1,0,0,0,0,"362768,8058","5643838,314",7.047159117,50.92983499,nass/feucht,,"Rad, PKW"
96491,5,3,15,0,2019,Januar,17,Dienstag,Unfall mit Schwerverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Dunkelheit,1,1,0,0,0,0,"354173,966","5644843,07",6.924533214,50.93675567,trocken,,"Rad, PKW"
96492,5,3,15,0,2019,Januar,18,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Dunkelheit,0,1,0,1,0,0,"356715,2082","5638371,503",6.963217351,50.87923306,nass/feucht,,"Krad, PKW"
96493,5,3,15,0,2019,Januar,13,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit anfahrendem/ anhaltendem/ruhendem Fahrzeug,Unfall im Längsverkehr,Tageslicht,0,1,0,0,0,0,"354698,583","5643061,896",6.932704546,50.92088113,nass/feucht,,PKW
96494,5,3,15,0,2019,Januar,16,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Dunkelheit,0,1,0,1,0,0,"354773,741","5645587,957",6.932766617,50.94360113,nass/feucht,,"Krad, PKW"
96587,5,3,15,0,2019,Januar,14,Montag,Unfall mit Schwerverletzten,Zusammenstoß mit entgegenkommendem Fahrzeug,Abbiegeunfall,Tageslicht,0,1,0,1,0,0,"361321,725","5649646,812",7.024366697,50.98169117,nass/feucht,,"Krad, PKW"
96588,5,3,15,0,2019,Januar,19,Montag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Abbiegeunfall,Dunkelheit,0,1,0,1,0,0,"350501,4671","5652071,893",6.869331363,51.00077595,nass/feucht,,"Krad, PKW"
96589,5,3,15,0,2019,Januar,15,Montag,Unfall mit Leichtverletzten,Zusammenstoß mit vorausfahrendem / wartendem Fahrzeug,Unfall durch ruhenden Verkehr,Tageslicht,0,1,0,0,0,0,"355591,0697","5641221,078",6.946122304,50.90456203,nass/feucht,,PKW
96590,5,3,15,0,2019,Januar,18,Montag,Unfall mit Leichtverletzten,Unfall anderer Art,Unfall durch ruhenden Verkehr,Dunkelheit,1,1,0,0,0,0,"354739,3788","5644750,856",6.932611591,50.93606967,nass/feucht,,"Rad, PKW"
96632,5,3,15,0,2019,Januar,9,Samstag,Unfall mit Leichtverletzten,Zusammenstoß zwischen Fahrzeug und Fußgänger,Überschreiten-Unfall,Tageslicht,0,1,1,0,0,0,"364943,9247","5639222,175",7.079801264,50.88886045,nass/feucht,,"Fuss, PKW"
96633,5,3,15,0,2019,Januar,17,Samstag,Unfall mit Getöteten,Zusammenstoß mit anfahrendem/ anhaltendem/ruhendem Fahrzeug,Abbiegeunfall,Dunkelheit,0,1,0,0,0,0,"359014,3849","5642244,416",6.994383318,50.91460504,nass/feucht,,PKW
96634,5,3,15,0,2019,Januar,17,Samstag,Unfall mit Schwerverletzten,Zusammenstoß zwischen Fahrzeug und Fußgänger,Überschreiten-Unfall,Dunkelheit,0,1,1,0,0,0,"360746,5761","5647673,4",7.016933994,50.963817,nass/feucht,,"Fuss, PKW"
96635,5,3,15,0,2019,Januar,16,Samstag,Unfall mit Leichtverletzten,Unfall anderer Art,Sonstiger Unfall,Dämmerung,0,1,0,0,0,1,"355817,0124","5650336,605",6.945724869,50.98653801,nass/feucht,,"PKW, Sonstige"
96638,5,3,15,0,2019,Januar,8,Samstag,Unfall mit Leichtverletzten,Zusammenstoß mit vorausfahrendem / wartendem Fahrzeug,Unfall im Längsverkehr,Dunkelheit,0,1,0,0,0,0,"349347,1196","5643145,688",6.856587213,50.92026174,nass/feucht,,PKW
96641,5,3,15,0,2019,Januar,16,Samstag,Unfall mit Leichtverletzten,Zusammenstoß zwischen Fahrzeug und Fußgänger,Überschreiten-Unfall,Dämmerung,0,1,1,0,0,0,"353098,8659","5644888,362",6.909224462,50.93688983,nass/feucht,,"Fuss, PKW"
